|H010|141|UN|3,000|0,750000|2,25|0|||1.1.2.12.001|2,25|
|H010|142|UN|11,000|0,500000|5,50|0|||1.1.2.12.001|5,50|
|H010|151|KG|18,550|0,650135|12,06|0|||1.1.2.12.001|12,06|
|H010|152|KG|4,725|6,666667|31,50|0|||1.1.2.12.001|26,10|
|H010|154|KG|10,373|14,528102|150,70|0|||1.1.2.12.001|142,35|
|H010|161|KG|14,300|0,350350|5,01|0|||1.1.2.12.001|5,00|
|H010|169|KG|10,375|14,717108|152,69|0|||1.1.2.12.001|152,69|
|H010|170|UN|13,769|4,650301|64,03|0|||1.1.2.12.001|25,76|
|H010|172|KG|5,308|14,939714|79,30|0|||1.1.2.12.001|76,73|
|H010|178|KG|51,032|9,700972|495,06|0|||1.1.2.12.001|553,44|
|H010|179|KG|62,169|8,317007|517,06|0|||1.1.2.12.001|516,56|
|H010|181|KG|35,933|9,701110|348,59|0|||1.1.2.12.001|631,49|
|H010|182|KG|35,096|9,701106|340,47|0|||1.1.2.12.001|423,15|
|H010|195|KG|2,100|7,900000|16,59|0|||1.1.2.12.001|16,59|
|H010|214|KG|5,654|4,946940|27,97|0|||1.1.2.12.001|27,97|
|H010|219|KG|43,843|10,104920|443,03|0|||1.1.2.12.001|475,48|
|H010|222|KG|18,360|5,659041|103,90|0|||1.1.2.12.001|68,61|
|H010|223|KG|17,816|4,600921|81,97|0|||1.1.2.12.001|93,25|
|H010|233|KG|8,860|6,316027|55,96|0|||1.1.2.12.001|55,22|
|H010|234|KG|27,348|14,066111|384,68|0|||1.1.2.12.001|384,68|
|H010|236|KG|5,596|6,878127|38,49|0|||1.1.2.12.001|38,49|
|H010|238|KG|6,603|5,877631|38,81|0|||1.1.2.12.001|38,81|
|H010|243|KG|11,000|0,980000|10,78|0|||1.1.2.12.001|10,78|
|H010|258|KG|18,072|9,883245|178,61|0|||1.1.2.12.001|173,20|
|H010|267|KG|1,306|10,000000|13,06|0|||1.1.2.12.001|13,76|
|H010|277|KG|1,814|13,324146|24,17|0|||1.1.2.12.001|24,17|
|H010|287|UN|2,000|0,500000|1,00|0|||1.1.2.12.001|1,00|
|H010|289|UN|3,000|0,500000|1,50|0|||1.1.2.12.001|1,50|
|H010|290|UN|8,000|0,250000|2,00|0|||1.1.2.12.001|2,00|
|H010|291|UN|9,000|0,250000|2,25|0|||1.1.2.12.001|2,25|
|H010|308|KG|14,825|35,985160|533,48|0|||1.1.2.12.001|535,64|
|H010|310|KG|38,945|13,501091|525,80|0|||1.1.2.12.001|503,13|
|H010|311|KG|29,723|10,802072|321,07|0|||1.1.2.12.001|320,71|
|H010|315|KG|33,388|1,050078|35,06|0|||1.1.2.12.001|35,06|
|H010|324|KG|0,285|11,192982|3,19|0|||1.1.2.12.001|4,97|
|H010|327|KG|53,979|8,803979|475,23|0|||1.1.2.12.001|469,13|
|H010|329|KG|3,782|10,692755|40,44|0|||1.1.2.12.001|40,44|
|H010|330|KG|3,158|12,992400|41,03|0|||1.1.2.12.001|41,03|
|H010|332|KG|22,908|5,442204|124,67|0|||1.1.2.12.001|124,67|
|H010|335|KG|13,263|9,549876|126,66|0|||1.1.2.12.001|124,88|
|H010|343|KG|4,039|4,273335|17,26|0|||1.1.2.12.001|17,26|
|H010|367|KG|39,176|10,840055|424,67|0|||1.1.2.12.001|419,85|
|H010|2002|UN|6,000|6,715000|40,29|0|||1.1.2.12.001|40,29|
|H010|2007|UN|3,000|9,200000|27,60|0|||1.1.2.12.001|27,60|
|H010|2011|UN|48,000|2,655000|127,44|0|||1.1.2.12.001|125,76|
|H010|2026|UN|10,000|1,213000|12,13|0|||1.1.2.12.001|12,25|
|H010|2028|UN|23,000|1,213043|27,90|0|||1.1.2.12.001|28,27|
|H010|2033|UN|3,000|17,930000|53,79|0|||1.1.2.12.001|53,12|
|H010|2038|UN|2,000|17,930000|35,86|0|||1.1.2.12.001|35,42|
